Client_ID,Dist_ID,Gender,DateOfBirth,Age,FirstName,LastName,Phone,Email
C00000001,18,Female,12/13/1990,29,Emma,Smith,367-171-6840,emma.smith@gmail.com
C00000002,1,Male,2/4/1965,54,Noah,Thompson,212-423-7734,noah.thompson@gmail.com
C00000003,1,Female,10/9/1960,59,Olivia,Johnson,212-425-6932,olivia.johnson@outlook.com
C00000004,5,Male,12/1/1976,43,Liam,White,951-567-8925,liam.white@gmail.com
C00000005,5,Female,7/3/1980,39,Sophia,Williams,428-265-1568,sophia.williams@gmail.com
C00000006,12,Male,9/22/1939,80,Mason,Lopez,813-629-5038,mason.lopez7@gmail.com
C00000007,15,Male,1/25/1949,71,Jacob,Lee,836-845-8120,jacob.lee7@gmail.com
C00000008,51,Female,2/21/1958,61,Ava,Brown,413-444-9280,ava.brown8@gmail.com
C00000009,60,Male,10/16/1955,64,William,Gonzalez,781-995-6192,william.marek.gonzalez@gmail.com
C00000010,57,Male,5/1/1963,56,Ethan,Harris,508-902-5510,ethan.harris9@gmail.com
C00000011,57,Female,8/22/1970,49,Isabella,Jones,508-688-6461,isabella.jones@hotmail.com
C00000012,40,Male,2/20/2001,18,James,Clark,431-869-3807,james.clark9@gmail.com
C00000013,54,Female,5/29/1994,25,Mia,Miller,840-168-6970,mia.miller@gmail.com
C00000014,76,Female,6/22/1962,57,Abigail,Davis,914-018-0811,abigail.davis5@gmail.com
C00000015,21,Female,8/28/1938,81,Emily,Garcia,556-415-7930,emily.garcia43@outlook.com
C00000016,21,Male,2/25/1939,80,Alexander,Lewis,760-882-7015,alexander.lewis3@gmail.com
C00000017,76,Male,10/13/1954,65,Michael,Robinson,914-238-1020,michael.robinson2@gmail.com
C00000018,76,Female,4/5/1951,68,Charlotte,Rodriguez,914-823-6406,charlotte.rodriguez2@gmail.com
C00000019,47,Male,12/28/1962,57,Benjamin,Walker,927-296-6436,benjamin.walker@gmail.com
C00000020,46,Male,1/4/1999,21,Elijah,Perez,886-176-3524,elijah.perez@gmail.com
C00000021,12,Female,10/29/1972,47,Harper,Wilson,894-384-1832,harper.wilson@outlook.com
C00000022,1,Female,10/11/1989,30,Madison,Martinez,212-093-8170,madison.martinez@gmail.com
C00000023,1,Male,5/29/1993,26,Daniel,Hall,212-803-8384,daniel.hall67@gmail.com
C00000024,43,Female,7/29/1959,60,Amelia,Anderson,302-681-4855,amelia.anderson8@gmail.com
C00000025,21,Female,4/23/1959,60,Elizabeth,Taylor,184-276-9486,elizabeth.taylor@gmail.com
C00000026,74,Female,4/20/1989,30,Sofia,Thomas,660-390-7055,sofia.thomas@gmail.com
C00000027,54,Female,3/26/1986,33,Evelyn,Hernandez,407-745-6584,evelyn.mari.hernandez8@gmail.com
C00000028,1,Male,9/29/1965,54,Aiden,Young,212-751-6276,aiden.young9@gmail.com
C00000029,30,Female,9/11/1971,48,Avery,Moore,996-691-7268,avery.moore@hotmail.com
C00000030,74,Female,10/9/1977,42,Chloe,Martin,255-965-5392,chloe.martin8765@gmail.com
C00000031,68,Male,2/9/1982,37,Logan,Allen,452-935-2140,logan.allen4@gmail.com
C00000032,52,Male,7/28/2000,19,Matthew,Sanchez,214-728-5200,matthew.sanchez3@gmail.com
