Client_ID,Address_1,Address_2,Zipcode
C00000001,387 Wellington Ave.,Unit 1,47246
C00000002,75 W. Berkshire St.,,10040
C00000003,36 Second St.,,10162
C00000004,7607 Sunnyslope Street,,49047
C00000005,755 Galvin Street,,40852
C00000006,8266 Arnold Drive,Unit 6,44987
C00000007,827 N. Green Lake Court,,44359
C00000008,817 Joy Ridge Dr.,,1101
C00000009,68 Carriage Road,,1901
C00000010,754 Grandrose St.,,2740
C00000011,873 Randall Mill Dr.,,2741
C00000012,275 Fairground Drive,,42009
C00000013,7429 Linden Drive,,47052
C00000014,708 Oak Valley St.,,10701
C00000015,30 Brown St.,,49180
C00000016,734 Bay Meadows Street,Unit 80,41275
C00000017,907 Green Lake Court,,10702
C00000018,7463 Griffin St.,,10703
C00000019,8095 Devon Court,,48126
C00000020,597 Foster Street,,48787
C00000021,6 Devon Court,,45780
C00000022,7062 Temple Court,Unit 1B,10282
C00000023,30 West Westport Dr.,,10009
C00000024,44 Walt Whitman St.,,45260
C00000025,92 Fairway Drive,,42325
C00000026,17 East Glenridge Road,Apt. 3D,46300
C00000027,88 Second Dr.,,47795
C00000028,125 North Holly Dr.,,10158
C00000029,327 Golf St.,,48851
C00000030,8 Pacific Lane,,42552
C00000031,9953 Coffee Court,,46720
C00000032,8163 Sutor Court,,45291
C00000033,940 Vale Lane,,46386
C00000036,9675 Tanglewood Drive,,41755
C00000037,50 Elmwood Street,,48628
C00000038,329 Jockey Hollow Court,,48105
C00000039,21 Middle River Drive,,43461
C00000040,943 N. Birch Hill Avenue,,42125
C00000041,8572 Mill Pond Rd.,,45895
C00000042,50 Smith Store Ave.,,45795
C00000043,38 Prairie Street,Unit 81,14602
C00000044,9461 Rockledge Street,,44504
C00000045,421 Vermont Drive,,42666
C00000046,9437 Greystone Drive,,42729
C00000047,8953 Jones Street,,10704
C00000048,14 Hanover Ave.,Unit 1B,41466
C00000049,7715 Prince Dr.,,43443
C00000050,44 Fordham Ave.,,48339
C00000051,948 Annadale St.,,48078
C00000052,89 Henry Smith St.,,45430
C00000053,8661 Dogwood Lane,,40915
C00000055,114 Spring Street,,44611
C00000056,174 Halifax Ave.,,40089
C00000057,62 South Manor Station Drive,,40846
C00000058,9122 South Fieldstone Dr.,,10116
C00000059,188 1st Road,,10199
C00000060,8604 Miller Rd.,,42452
C00000061,8673 Wakehurst Court,,47090
C00000062,279 Mechanic Lane,,13201
C00000063,9 Iroquois St.,,46324
C00000064,9314 Lees Creek Rd.,,40005
C00000065,682 Linden Dr.,,14267
C00000066,18 Rockville Dr.,,10087
C00000067,388 Fawn Dr.,,45151
C00000068,9855 Riverview Lane,,45109
C00000070,70 Oak Ave.,,40489
C00000071,9886 Ridgeview Street,,41039
C00000072,547 Marconi Court,,43117
C00000073,9187 Hillcrest Rd.,,42612
C00000074,7 Ridgeview Street,,42021
C00000075,35 Walnutwood Ave.,,41921
C00000076,8109 Lake View Road,,47819
C00000077,24 Leatherwood St.,,10114
C00000078,63 Bald Hill Street,,42644
C00000079,808 Glenwood Street,,42623
C00000080,366 Purple Finch Road,,44952
C00000081,874 Riverside Drive,,48427
C00000082,772 Sunnyslope Ave.,,45679
C00000083,619 Whitemarsh Rd.,,10278
C00000084,7100 Wintergreen Street,,10019
C00000085,6 East Young Circle,,10168
C00000086,9360 Bayport Ave.,,10111
C00000087,673 East Ramblewood Street,,45190
C00000089,94 Chestnut Rd.,,10175
C00000090,921 Lake Forest Dr.,,42164
C00000091,556 South Schoolhouse St.,,40947
C00000092,40 Myers Lane,,47075
C00000093,6 Theatre Street,,43964
C00000094,353 Birchpond Court,Unit 7,44476
C00000095,6 Alderwood Ave.,,43812
C00000096,12 Selby Street,,44520
C00000097,9079 Bald Hill Drive,,42423
C00000098,86 Manchester Street,,44715
C00000099,478 High Ridge Street,,40996
C00000100,626 Arlington Rd.,Unit 77,47410
C00000101,221 Ashley Rd.,,47959
C00000102,238 Foxrun St.,,48791
C00000103,745 Bellevue Lane,,42641
C00000105,50 Wild Rose Court,,43442
C00000106,28 Cypress St.,,48179
C00000107,9847 Fairway Street,,10153
C00000108,9731 Coffee Court,,44663
C00000110,9638 Carson Rd.,,40966
C00000112,169 Lyme Street,,10104
C00000113,258 Lexington Ave.,,10022
C00000114,39 Buttonwood St.,,40296
C00000115,9174 Hall Ave.,,47307
C00000116,441 Dunbar Drive,,41687
C00000117,45 Jefferson Circle,,43629
C00000118,142 Lantern St.,,1850
C00000119,9719 Summit Street,,1851
C00000120,75 Wood Road,,10016
C00000121,8537 Greenrose Drive,,49550
C00000122,9417 Green Hill St.,,44133
C00000123,39 Pawnee Street,,41580
C00000124,884 Helen St.,,42152
C00000125,7526 Jockey Hollow St.,,46846
C00000126,178 North Rocky River Rd.,,47191
C00000127,250 Linda St.,,43043
C00000128,1 Durham Street,,49053
C00000129,3 Rock Maple St.,,49392
C00000130,7527 Atlantic Ave.,,46145
C00000131,36 Grandrose Circle,,42598
C00000132,691 Holly Rd.,,45358
C00000134,220 Railroad Street,,42012
C00000135,733 Birchwood Street,,45858
C00000136,16 NW. Rosewood Drive,,1852
C00000137,7685 Temple Circle,Unit 76,1902
C00000138,60 Somerset Lane,,46329
C00000139,47 S. Inverness Street,,43854
C00000140,517 Willow Street,,45693
C00000141,170 Carson Street,,48957
C00000142,425 Liberty St.,,42917
C00000143,796 Fieldstone Court,,40289
C00000144,351 Howard Ave.,,2456
C00000145,71 Glen Ridge St.,,1853
C00000146,8934 San Pablo Lane,,44598
C00000147,9 W. Glendale St.,,46886
C00000148,15 Pulaski Drive,,49466
C00000149,999 Sherman Lane,,1854
C00000150,500 Oakland St.,,42223
C00000151,48 N. High St.,,1102
C00000152,8338 Mammoth Rd.,,46823
C00000153,8426 Tarkiln Hill St.,,44473
C00000154,814 Ocean Street,Apt. 4D,45276
C00000155,37 North Lexington St.,,43197
C00000156,1 Logan Rd.,,42630
C00000157,89 Catherine St.,,48482
C00000158,9315 South Lane,,44477
C00000159,789 Old York St.,,46842
C00000160,651 High Ridge Road,,46913
C00000161,9946 Plymouth Dr.,,48530
C00000162,217 Iroquois St.,,2458
C00000163,70 S. Prince Ave.,,45141
C00000164,68 Foster Road,,49947
C00000165,91 North Hilldale Avenue,,45391
C00000166,298 Garden St.,,47211
C00000167,8555 Academy St.,,44650
C00000168,81 3rd Street,,44745
C00000169,9688 Argyle St.,,42391
C00000170,165 Southampton St.,,40155
C00000171,7460 Lakewood Dr.,,1103
C00000172,689 Franklin Ave.,,1104
C00000173,22 Middle River Drive,,40697
C00000174,82 Peg Shop St.,,47608
C00000175,8019 West Howard Lane,,45938
C00000176,8418 Tanglewood Circle,,41595
C00000178,32 Mountainview Street,,44871
C00000179,9895 Boston Ave.,,46874
C00000180,120 East Greystone Dr.,,40498
C00000181,910 Applegate Dr.,,10705
C00000182,377 Valley View St.,,10706
C00000183,23 East Bay St.,,10019
C00000184,53 Briarwood Street,,10104
C00000185,9880 State Drive,,13202
C00000186,18 Gulf Ave.,,44781
C00000187,41 Hill Field Lane,,2301
C00000188,7708 Honey Creek St.,,41298
C00000189,107 New Saddle Lane,,43717
C00000190,223 Newcastle Drive,,46951
C00000191,961 Westminster Dr.,,46616
C00000192,7922 Lookout Street,,41454
C00000193,728 Oxford Drive,,10008
C00000194,7360 Strawberry Ave.,,45971
